Grados,Amplitud (Mili-Voltaje),Not used
0,620,
1,589,
2,616,
3,592,
4,625,
5,586,
6,587,
7,582,
8,614,
9,626,
10,612,
11,596,
12,604,
13,595,
14,592,
15,584,
16,594,
17,592,
18,594,
19,600,
20,595,
21,597,
22,594,
23,588,
24,592,
25,587,
26,580,
27,575,
28,575,
29,567,
30,570,
31,568,
32,569,
33,572,
34,575,
35,582,
36,570,
37,561,
38,559,
39,549,
40,544,
41,546,
42,543,
43,542,
44,551,
45,543,
46,526,
47,523,
48,518,
49,523,
50,512,
51,508,
52,502,
53,495,
54,496,
55,493,
56,485,
57,476,
58,466,
59,472,
60,462,
61,455,
62,436,
63,432,
64,422,
65,408,
66,397,
67,379,
68,366,
69,370,
70,353,
71,344,
72,330,
73,288,
74,267,
75,284,
76,224,
77,266,
78,176,
79,160,
80,184,
81,144,
82,150,
83,126,
84,128,
85,60.7,
86,33.7,
87,22.3,
88,138,
89,100,
90,51.8,
